format_pair,layer,representation,n,mean_cosine,std_cosine,failure_flip_n,failure_flip_mean_cosine,non_flip_n,non_flip_mean_cosine,flip_minus_nonflip_cosine
html-latex,-1,final_token,699,0.9268702460674086,0.16661164854074723,76,0.8868895290713561,623,0.9317475084938934,-0.04485797942253733
html-latex,-1,mean_pool,699,0.9153321615616139,0.016993273563286452,76,0.9130834450847224,623,0.9156064833148142,-0.002523038230091812
html-latex,0,final_token,699,1.0000005960464478,0.0,76,1.0000005960464478,623,1.0000005960464478,0.0
html-latex,0,mean_pool,699,0.6531181184519003,0.09457287649819854,76,0.644903606490085,623,0.654120209798767,-0.009216603308681903
html-latex,13,final_token,699,0.9897914864815697,0.03215587402969734,76,0.9881472171921479,623,0.9899920714992199,-0.0018448543070719303
html-latex,13,mean_pool,699,0.9843683470472245,0.005213863639064872,76,0.9840406830373564,623,0.9844083189007559,-0.00036763586339949583
html-latex,20,final_token,699,0.9971796515502984,0.006955143278463538,76,0.9968359015489879,623,0.9972215857398644,-0.00038568419087647854
html-latex,20,mean_pool,699,0.9993023224313542,0.00020598646705534098,76,0.9993020923514115,623,0.9993023504988914,-2.581474798368788e-07
html-latex,6,final_token,699,0.9275720796743687,0.17967918459010837,76,0.9178778186048332,623,0.9287546861611821,-0.010876867556348868
html-latex,6,mean_pool,699,0.8964223151384334,0.022418256230008163,76,0.8960235636485251,623,0.896470958979899,-0.0004473953313739454
html-markdown,-1,final_token,697,0.9204131719286165,0.17799169049502125,75,0.8763891396919886,622,0.9257215359442871,-0.04933239625229846
html-markdown,-1,mean_pool,697,0.9292316887436843,0.014049395877890326,75,0.9287393943468729,622,0.9292910490005346,-0.0005516546536616929
html-markdown,0,final_token,697,1.0000005960464478,0.0,75,1.0000005960464478,622,1.0000005960464478,0.0
html-markdown,0,mean_pool,697,0.6756395243076204,0.08100779518218758,75,0.6710831125577291,622,0.6761889308691025,-0.005105818311373356
html-markdown,13,final_token,697,0.9878934902303359,0.03513031619210657,75,0.9861481801668803,622,0.9881039375852542,-0.001955757418373838
html-markdown,13,mean_pool,697,0.9825528999483226,0.006569748463374692,75,0.9822242458661398,622,0.9825925286559813,-0.0003682827898415786
html-markdown,20,final_token,697,0.9966919548713323,0.008022659800263435,75,0.9962663205464681,622,0.9967432773381567,-0.0004769567916885764
html-markdown,20,mean_pool,697,0.9993885905191923,0.00017724711305692968,75,0.9993834837277731,622,0.9993892062898617,-5.722562088639194e-06
html-markdown,6,final_token,697,0.9194094956434269,0.19289819257141816,75,0.9092525923252106,622,0.9206342026351733,-0.011381610309962653
html-markdown,6,mean_pool,697,0.8462949767174304,0.03360683886131643,75,0.8433516240119934,622,0.8466498825902724,-0.003298258578279034
markdown-latex,-1,final_token,698,0.9402384086589417,0.15861938656865932,76,0.9333848786589346,622,0.941075817469232,-0.007690938810297365
markdown-latex,-1,mean_pool,698,0.9796027919453673,0.00772635038694245,76,0.9794404357671738,622,0.979622629677751,-0.0001821939105772774
markdown-latex,0,final_token,698,1.0000005960464478,0.0,76,1.0000005960464478,622,1.0000005960464478,0.0
markdown-latex,0,mean_pool,698,0.8090288583562846,0.09899340576055754,76,0.7986523610980887,622,0.8102967261884757,-0.011644365090387021
markdown-latex,13,final_token,698,0.9922958427138179,0.028361464684382828,76,0.9948312600976542,622,0.9919860489498764,0.002845211147777804
markdown-latex,13,mean_pool,698,0.9955311205803835,0.002503208850371649,76,0.9952281195866434,622,0.9955681432098438,-0.0003400236232004028
markdown-latex,20,final_token,698,0.9977234026422473,0.006613315073514267,76,0.9982683399790212,622,0.9976568186589759,0.0006115213200452718
markdown-latex,20,mean_pool,698,0.999683331452673,0.0001419139178157886,76,0.9997005980265768,622,0.999681221710524,1.937631605286594e-05
markdown-latex,6,final_token,698,0.9325133985639643,0.16692369195360526,76,0.9469981950364614,622,0.9307435520496399,0.016254642986821555
markdown-latex,6,mean_pool,698,0.9255699183162099,0.024884260159167903,76,0.9198446485557055,622,0.926269468962188,-0.006424820406482512
